productTitle,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt
"Redmi 6 (Blue, 32 GB)",4.4,Good,good performance,bamania tushar,"Nov, 2019"
"Redmi 6 (Blue, 32 GB)",4.4,Highly recommended,nice,SUSHIL BAIDYA,"Nov, 2019"
"Redmi 6 (Blue, 32 GB)",4.4,Good quality product,not bad,Santanu Maity,"Nov, 2019"
"Redmi 6 (Blue, 32 GB)",4.4,Brilliant,Good,Sagar Malhotra,"Nov, 2019"
"Redmi 6 (Blue, 32 GB)",4.4,Nice,nice,Ajmuddin,"Nov, 2019"
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Working well,Original,Abhishek Kumar,"May, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Worth every penny,Beautiful surrounding sound quality. Well built-up. Very cute looking..,Akash pandit,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Terrific! ,Ordered this 3 months back. Working perfectly fine. You can order it from here. No cost EMI Is an added benefit,Manu  Shrivastava ,"May, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Perfect product!,it's been 10 months and phone doesn't feel outdated in any way. Brilliant and Clear CameraExcellent Battery LifePerformance PowerPacked Solid Built Perfect All Rounder from Redmi,Rohit  Sharma,"Jul, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Pretty good,Nice,Ajay Kumar,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Best in the market!,Its a beast in gaming no lags in performance. You can play pubg butter smooth. Its best value for money device in entire apple ecosystem. Excellent display quality and sound and great battery life.,UdayBhaskar ,"May, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Really Nice,It's been a year I have bought this mobile and there is no problem  .But I feel the cost of latest ones of xiaomi  are better with the better features.,Flipkart Customer,"Jul, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Really Nice,Just for entertenmen,Sribas Panda,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Wonderful,Best feeling is unboxing this marvelous product. Even better than iPhone,Shubham Khalane,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Worth the money,One of the best phone of Mine.,mozammil ahmed,"Jul, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Wonderful,Nice,Maheshwar Adiley,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Just wow!,Great Display and performance.Camera a bit average but it is fine for an iPad.,Jitesh Chaudhari,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Simply awesome,awsum phone.great cameragood battery lifesmooth performancevibrant displaynice touch sensitivity,Flipkart Customer,"Jul, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Really Nice,Nice product....Sound quality :4.1Bass:5Battery:3.9 (we can get only under 8 Hrs)Build quality:4Valie for money:4.8,Jibin Biju,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Highly recommended,mindblowing purchase best ipad at this price range,Amarjyoti Talukdar,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Perfect product!,perfect deal with perfect product...Great Experience.,Arif Khan,"Jul, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Good quality product,All over good purchasing on this prize.,Laxman Shivappa  Rathod,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Really Nice,"iPad is good. but charger gets too hot,  feels like get blasts.",Chaitanya Hegde,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Must buy!,After 11 month Headphone not connect,AJEET KUMAR,"Jul, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Worth every penny,Excellent product,Flipkart Customer,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Fabulous!,Beautiful product.. must for medical students,Aamir Shokat,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Good quality product,nice phone,Shahnawaz  Ali Warsi,"Jun, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Must buy!,Over powered,Guddu Sannigrahi,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Worth every penny,Best for study purpose for student,Rahul prasad,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Delightful,good,Flipkart Customer,"Jun, 2019"
Mivi Play 5 W Portable Bluetooth Speaker,4.3,Terrific,Good product,Pravat Kumar  Subudhi,3 months ago
APPLE iPad (6th Gen) 32 GB ROM 9.7 inch with Wi-Fi+4G (Gold),4.7,Worth the money,Good product,Raju.  I. L,"Apr, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Brilliant,the best for the price no other mobile can be matched to this with its price,Nagendra Urs,"Jun, 2019"
"Redmi Note 5 Pro (Lake Blue, 64 GB)",4.5,Terrific,I have purchased the phone approximately 12months ago and it is working fine without any glitches. The camera is great and the overall performance is superfine for a smartphone at a range of 10K.,Shuvayan Bhattacharjee,"Jun, 2019"
Himalayan Natives Apple Cider Vinegar,4.4,Awesome,Quality is good. Very useful.,Golu Singh,3 months ago
Himalayan Natives Apple Cider Vinegar,4.4,Must buy!,Good,Prathyusha Kandika,3 months ago
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Terrific purchase,one of the best product I ever buygot for it,Vicky  Kumar,"Jan, 2019"
Micromax X072 Dual Sim,3.9,Nice product,Its a good phone.,Satish Sahu,"Dec, 2016"
Himalayan Natives Apple Cider Vinegar,4.4,Excellent,"This apple cider vinegar is 100%raw and unfiltered. It helps toloose weight, improve heart health and control blood sugar and also insulin levels. No colour and preservatives are added in this vinegar",Shaikh  Shabana,3 months ago
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Delightful,value for money,VINOTH S,"Jan, 2019"
Micromax X072 Dual Sim,3.9,Not good,Good,Manish  Kumar,"Dec, 2016"
Himalayan Natives Apple Cider Vinegar,4.4,Good choice,"It’s a very nice vinegar, I use it in baking and the cupcakes came out to be good",Dik bansal Bansal,3 months ago
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Excellent,Value for money,Akshat Singh,"Dec, 2020"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Really Nice,bass effect is low but good for health...battery backup is ok 7 to 8 hrs,jeevanantham s,"Jan, 2019"
Micromax X072 Dual Sim,3.9,Worth the money,Great phone at amzing price with nice features and value for money !! I really loved this product....Thanks Flipkart !!!!!!,Nikit  Kumar,"Dec, 2016"
Himalayan Natives Apple Cider Vinegar,4.4,Brilliant,The vinegar is totally awesome as I wanted one. Worth using.,Sarika Bal,3 months ago
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Perfect product!,If it's your first iPhone just go for it. You 'll love it. Running latest iOS 14.2 what else do you need then don't spend double on 11 11 pro if this is going to be your first just take this beauty home,Sanam Arora,"Dec, 2020"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Absolute rubbish!,Worst product. That product became dead after 1 month. Then I sent it to Main Center. They replaced it with new piece which is dead exactly after warranty period of 1 year.,Sudheesh Sankaranarayanan,"Jan, 2019"
Micromax X072 Dual Sim,3.9,Terrific,Excellent,DrArun Sengar,"Dec, 2016"
Himalayan Natives Apple Cider Vinegar,4.4,Wonderful,This is the first time I'm consuming apple cider vinegar. I'm drinking it every morning empty stomach and I can see the difference it makes. I feel energetic and the metabolism sure have improved. recommend to buy.,Niteesh kumar,4 months ago
SONY 1 TB External Hard Disk Drive,4.4,Really Nice,Product is good. the black colour is not very great its look like aluminium but it is made by plastic. the build quality is solid and it's very slim. good product and Flipkart Service also good.,swarup chaki,"Aug, 2017"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Value-for-money,This phone is my first iPhone. And Best phone,Rahul  Dhiman,"Dec, 2020"
Micromax X072 Dual Sim,3.9,Delightful,Its worth of money,dileep kumar,"Dec, 2016"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Just wow!,Good battery backupLow waightGood product,Ripal Patel,"Jan, 2019"
SONY 1 TB External Hard Disk Drive,4.4,Excellent,I got it for Rs 4000 face no issue it works fine on my PC best product by Sony and Thank you Flipkart for such an amazing packaging,Pradeep Dewasi,"Jul, 2017"
Himalayan Natives Apple Cider Vinegar,4.4,Terrific,Totally best in quality. Like using it. Quality is super good and vingar is as I wanted. Worth buying.,Kanij  Rasbharya ,4 months ago
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Terrific purchase,Nice,Nalleru Kamalakar ,"Dec, 2020"
Micromax X072 Dual Sim,3.9,Highly recommended,Nice product,Flipkart Customer,"Dec, 2016"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Nice,Product,Dipak Kumar,"Jan, 2019"
SONY 1 TB External Hard Disk Drive,4.4,Very Good,"Good one , but it will be glad if hardisk cover will be given free with it.",Tisha Patel,"Jul, 2017"
Himalayan Natives Apple Cider Vinegar,4.4,Highly recommended,Very good in taste.very effective.quality is also good.we can drink.Easy to used.good for health.,Anand Kumar,4 months ago
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Best in the market!,Pretty super reasonable price,Flipkart Customer,"Dec, 2020"
Micromax X072 Dual Sim,3.9,Value-for-money,This phone working suuperb I am ordered this two times,Nakka Lakshmanudu  Lakshman ,"Nov, 2016"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Must buy!,good build quality with very good mic,Prashant Kumar,"Jan, 2019"
SONY 1 TB External Hard Disk Drive,4.4,Worth the money,Awesome harddisk. Transfer speed is 20 to 30 mbps. Good experience very good speed. I brought this in 3990/-.  Its a good experience with sony thank you,Krushnasinh Jadeja,"Jul, 2017"
Himalayan Natives Apple Cider Vinegar,4.4,Must buy!,Good vinegar.Taste and smell is good.Helps in loosing weight and good for immunity.,Shivam Garg,4 months ago
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Highly recommended,Just go for it :),abhishek gawade,"Dec, 2020"
Micromax X072 Dual Sim,3.9,Worth the money,Good,Nitin shelar,"Nov, 2016"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Decent product,blutooth is connection distance is less.sound quality is okdesign is good,Vikram Verma,"Jan, 2019"
SONY 1 TB External Hard Disk Drive,4.4,Wonderful,"This is good hard disk. Transfer speed is also good it is 35 to 45 mb . It supports all operating system like windows, mac, linux and Ubuntu. And a Brand name.",sunder rawat,"Jun, 2017"
Himalayan Natives Apple Cider Vinegar,4.4,Brilliant,Super Apple cider vinegar Slim our body and lot of work Amazing and packing super Must buy,Samreen  Anjum,4 months ago
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Mind-blowing purchase,Amazing phone😍❤️💎,Kuldeep Gurjar,"Dec, 2020"
Micromax X072 Dual Sim,3.9,Could be way better,"Wrong information given. USB cable not received even replace two times. And micromax x072, not have 256 Ram. Even internal storage is only 85 kb. Miss guide by flipkart...........",Chirag,"Nov, 2017"
SONY 1 TB External Hard Disk Drive,4.4,Wonderful,"Loved it....Awsome Product from Sony.....got it just for Rs 3699 workng perfect , transfer speed max 90Mbps and i think it is sufficient , just go for it without any thinking.",Dr Chetan Jajoria,"Jun, 2017"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Super!,"sound quality is good, battery backup awesome,",Flipkart Customer,"Jan, 2019"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Simply awesome,Just Love It,Surajit M,"Dec, 2020"
Micromax X072 Dual Sim,3.9,One Star,It does not give refund,Vishal Kumar,"Aug, 2017"
SONY 1 TB External Hard Disk Drive,4.4,Excellent,Its a great product. Transfers at a constant speed of 35mbps.Sleek design and trust of sony. Highly recommended hd. i got it in offer at 3800 ₹☺.Dont' think just go for it. if u r a rough type of user then this is better for you compared to that seagate slim hd.,Mohd Saad Khan,"May, 2017"
Skullcandy Ink'd Bluetooth Headset with Mic,4.1,Delightful,very good product,sri  padma ,"Jan, 2019"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Simply awesome,Fantastic product,Suraj Saha,"Dec, 2020"
SONY 1 TB External Hard Disk Drive,4.4,Terrific,Does not work well with desktops.... Superb with laptops and smart tv,SEUZ BARUA,"May, 2017"
"Apple iPhone XR (Yellow, 128 GB) (Includes EarPods, Power Adapter)",4.6,Fabulous!,Go for XR if you are interested in buying iphone 11,Hartejdeep Singh,"Dec, 2020"
SONY 1 TB External Hard Disk Drive,4.4,Brilliant,Anybody looking for a good and fast hard disk than go for this one.. it's fast. Works around 100MBPS for transferring.. nice product.,Minli Rumi,"May, 2017"
SONY 1 TB External Hard Disk Drive,4.4,Decent product,awsm good great experience great strorge for everything ... now you are happy flipkart,Farhan Khan,"May, 2017"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Terrific purchase,Good,SRIMANNARAYAN MISHRA,"May, 2017"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Perfect product!,Awesome product,Vaishali Borale,"May, 2017"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Classy product,Good quality,Pramod Kumar Agrahari,"May, 2017"
SAMSUNG Guru Music 2,4.3,Must buy!,Nice products,Dheeraj Yadav,"Jun, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Excellent,Excellent product for non medico people to keep a check on ur bp,Arun Bhat,"May, 2017"
SAMSUNG Guru Music 2,4.3,Don't waste your money,it's mice problem .sound is not working properly,Anoop yadav,"Jun, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Simply awesome,Good product.affordable price..use Duracell batteries..remove them after use to have longer battery life,Flipkart Customer,"May, 2017"
SAMSUNG Guru Music 2,4.3,Worthless,not sound,Hari Haran,"Jun, 2019"
Dr. Morepen BP-11 Bp Monitor,4.1,Good quality product,good,SACHIN AGASIMANI,"Mar, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Worth every penny,Easy to use,Sainath Bhima,"May, 2017"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Very Good,over all good product,Madhu  Tekkali,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Just okay,Good,Flipkart Customer,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Worth the money,Value more money,Srinivas,"Jun, 2019"
Dr. Morepen BP-11 Bp Monitor,4.1,Delightful,very good,Hemanta Deka,"Mar, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Nice product,Best product,Rashid  Raza,"Apr, 2017"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Excellent,Fabulous,Vishwajeet  Kumar,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Very Good,Very nice,Sanju  Payala ,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Terrific,Super phone,Anil Kumar,"Jun, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Simply awesome,Nice work with you,Shahid  Ahmad ,"Apr, 2017"
Dr. Morepen BP-11 Bp Monitor,4.1,Value-for-money,Using for 2 month. Good easy to handle. Accurate reading. Memory function. Should have one in everyone home.,Harinath Manokaran,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Perfect product!,nice working,Flipkart Customer,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Not good,Okay okay 😬,Divyank Tyagi,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Perfect product!,very nice,"Jaya Kumari,  kurmannapalem vadlapudi(post)near Abethkar junior College, laxmipuram colony, 9505425506.","Jun, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Simply awesome,Good Blood Pressure Machine .,Abhishek Shukla,"Apr, 2017"
Dr. Morepen BP-11 Bp Monitor,4.1,Excellent,good quality but 10difference up or down,8003228404 vinay1990,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Good quality product,good work,Haridas Patra,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Excellent,🙏🏻nice,Hema Katwa,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Pretty good,very nice products,Prasant Kumar Baral,"Jun, 2019"
CITIZEN ch 432 delux ch-432 Bp Monitor,4.2,Must buy!,Good product and it gives good service,krishanjit Parasae,"Apr, 2017"
Dr. Morepen BP-11 Bp Monitor,4.1,Unsatisfactory,accuracy problems,subho roy,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Must buy!,Excellent product in this price range....thank you Flipkart...,Flipkart Customer,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Must buy!,Super,Catherin Catherin,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Super!,Call talking and music best phone and important battery makeup strong,Vishal Kumar,"Jun, 2019"
Dr. Morepen BP-11 Bp Monitor,4.1,Delightful,Nice,Flipkart Customer,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Could be way better,good product,Sumam  Kumar,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Terrific,I am fully happy,ADHI,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Terrific,Good,Flipkart Customer,"Jun, 2019"
Dr. Morepen BP-11 Bp Monitor,4.1,Very Good,nice,Flipkart Customer,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Perfect product!,Really worth every penny....,Rishi Raj,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Fabulous!,Very good quality,jagadeesh suneetha,"Oct, 2020"
SAMSUNG Guru Music 2,4.3,Worthless,ok,Lokesh Sharma,"Jun, 2019"
Dr. Morepen BP-11 Bp Monitor,4.1,Horrible,worst product. its like a toy. good for playing not for mesaurement of bp. redings shown are with very large gap from actual. not of any use. flipkart is not taking it back. worst product. worst service. i will rating in minus if possible.,Arvind Sheoran,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Mind-blowing purchase,good job,Flipkart Customer,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Terrific purchase,Amazing product thanks full filpcart,Rajesh acharya Rajesh acharya,"Oct, 2020"
Dr. Morepen BP-11 Bp Monitor,4.1,Simply awesome,good,Flipkart Customer,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Good quality product,Nice delivery,ARUN  Kumar,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Worth the money,This is a very good quality organic orginals products,pintu banerjee,"Oct, 2020"
Dr. Morepen BP-11 Bp Monitor,4.1,Best in the market!,Nice,Flipkart Customer,"Mar, 2019"
TOSHIBA M203 256 GB MicroSD Card Class 10 100 MB/s  Memory Card,4.2,Nice product,good,Flipkart Customer,"Nov, 2018"
"MORMUKUT Natural Kamalgatta Pooja Mala, Lakshmi Pooja Mala (Lotus Seeds), Kamal Gatta Mala for pooja Beads Wood Necklace Stoneware Yantra",4.3,Excellent,This is very best and good product.. Am so happy thank u flipkart for wonderful product..keep shopping,Meenakshi ,"Oct, 2020"
Mivi Zero Portable Bluetooth Speaker,4.4,Value-for-money,"After using it for more than 10 days, Actually I am loving it, sound quality is amazing and I can use it for studying and party both.",khushi verma,"Sep, 2020"
Mivi Zero Portable Bluetooth Speaker,4.4,Great product,Its worth & value for money product under 1000. Specially bass is great and clean.,Flipkart Customer,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Worth the money,"Good quality,works good..#gautamfarming@gautamfarming",Gautam  Kumar,6 months ago
Mivi Zero Portable Bluetooth Speaker,4.4,Terrific,It to small,Shreyash pacharne,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Great product,Very nice mic..,VIBHOR GUPTA,6 months ago
Mivi Zero Portable Bluetooth Speaker,4.4,Very Good,Second time i orderd mivi speaker good quality product & sound quality is fabulous safe delivery from flipkart,Prasad Naik,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Mind-blowing purchase,Excellent noise and fully satisfied,sandra chandran,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Brilliant,Excellent,Flipkart Customer,"Dec, 2019"
Mivi Zero Portable Bluetooth Speaker,4.4,Pretty good,Sound a little low,Gaurav  Mehta,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Excellent,Nice one,Khusdeep Singh,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Just wow!,Vallue of money,Krishna  Singh ,"Dec, 2019"
Mivi Zero Portable Bluetooth Speaker,4.4,Nice product,Good,Akash Dey,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,does not work for laptop and captures to much noise,quality is ok but it captures to much noise. does not work for laptop pc if anyone knows how to use it with laptop or computer please help.,Prathamesh  Karad,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Best in the market!,This phone is too good,Alka Jagtap,"Dec, 2019"
Mivi Zero Portable Bluetooth Speaker,4.4,Nice product,Good sound and bassBattery break up good,Akash Dey,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Brilliant,Awesome for dubbing,Mahesh royal,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Great product,Nice,Mayur Ahir,"Dec, 2019"
Mivi Zero Portable Bluetooth Speaker,4.4,Excellent,It is super. The sound quality & bass is very good.Battery backups is also good. Once fully charged it can run 4 to 5 hours continuously.,Ashish  Samantaray,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Terrific,Nice,Ashok Kumar,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Perfect product!,Touch Auto Working,Flipkart Customer,"Dec, 2019"
Mivi Zero Portable Bluetooth Speaker,4.4,Terrific purchase,Good sonud,Dhanush Thiru,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Brilliant,Nice voice,RAJKUMAR RANA,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Mind-blowing purchase,good mobile...,Biplab Das,"Dec, 2019"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Value-for-money,Excellent quality and original piece,Vasanthraj Shetty,"Nov, 2020"
Mivi Zero Portable Bluetooth Speaker,4.4,Delightful,Have not tested the battery life but so far it's very good,Bala Kavali,"Sep, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Does the job,It's good 👍 and has got a very long wire it's value for money product but got 1 issue which is it records surrounding/ background voice or noise easily.  I think a earphone of 600 has got a better background noise cancellation than this 😂,Syed Suhaib  Ahmed ,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Excellent,super phone.. nice camera,AJAY SHIYAL,"Dec, 2019"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Highly recommended,My second I phone very good product & performance,Satyam Satya,"Nov, 2020"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Hated it!,Very bad product....,Pankaj Chauhan,6 months ago
"Redmi 7A (Matte Black, 16 GB)",4.3,Good choice,Super products,AMIT KUMAR SINGH,"Dec, 2019"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Pretty good,Good phone to use,Flipkart Customer,"Nov, 2020"
"Redmi 7A (Matte Black, 16 GB)",4.3,Mind-blowing purchase,Product is good,Sairam Vijayaraghavelu,"Dec, 2019"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Worth every penny,One Of The Best Phone Provided By Apple...,Vinod Hadawale,"Nov, 2020"
"Redmi 7A (Matte Black, 16 GB)",4.3,Fair,Good product,Shambhu Sharma,"Dec, 2019"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Terrific purchase,Brilliant Phone. #satisfied,Sandeep Singh,"Nov, 2020"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Wonderful,Super,SAYYAD  JABIR ,"Nov, 2020"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Hated it!,Not value for money phone,Sachin Shinde,"Nov, 2020"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Nice,Having issues in touch. Sometimes it needed multiple attempts to select something. But otherwise its ok.,Keya,"Nov, 2020"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Mind-blowing purchase,No complaint it’s original. Happy to used iPhone XR .,Flipkart Customer,"Nov, 2020"
"Apple iPhone XR (Yellow, 256 GB) (Includes EarPods, Power Adapter)",4.6,Classy product,Good,Darshan Pancholi,"Nov, 2020"
APPLE MD827ZM/B Wired Headset,3.8,Impressive,"FYI i am a musician and a sound engineer,my review matters more :D loli have iPad iPhone n an iMac,n i have tried so many earphones/headphones custom made for idevices (5button control n a mic).i have tried things like Bose Mie2,JAYS ajays four,Klipsh s4i,scullcandy n of course the old factory delivered apple headphones n 4k earphones with noise cancellation..I checked these earphones with bass heavy tracks of rahman sahab (rehna tu kinds) n treble rich acoustics of taylor swift or adele....",Shakti Rathore,"Mar, 2013"
